batch_size,timesteps,l1_kernel,l1_recurrent,val_mae
128,5,0.001,0.0,0.029024025425314903
8,50,0.001,0.0,0.04498138651251793
8,10,0.001,0.0,0.02563880756497383
128,50,0.0,0.001,0.051122166216373444
16,50,0.001,0.01,0.058627791702747345
16,30,0.01,0.01,0.04165766015648842
16,25,0.01,0.0,0.05095601826906204
8,70,0.01,0.01,0.05257564038038254
128,40,0.01,0.01,0.08203005790710449
8,40,0.01,0.001,0.06740813702344894
128,20,0.001,0.001,0.04254887253046036
64,30,0.0,0.0,0.056440383195877075
8,30,0.01,0.01,0.04317089915275574
64,50,0.001,0.01,0.05167394131422043
32,50,0.0,0.0,0.06597959995269775
8,10,0.01,0.001,0.041294462978839874
8,10,0.01,0.0,0.03502194583415985
8,40,0.0,0.01,0.04546754062175751
16,25,0.001,0.0,0.03529098257422447
16,30,0.0,0.01,0.03684620186686516
